IDENTIFIER,Entrez Gene,,,,,,,,,,,,,,,,,,,,,
SNORD35B,6205,84546,,,,,,,,,,,,,,,,,,,,
RPL9,6133,,,,,,,,,,,,,,,,,,,,,
MIR5047,1655,100616387,100616408,,,,,,,,,,,,,,,,,,,
RPL6,6128,,,,,,,,,,,,,,,,,,,,,
CTDNEP1,23399,,,,,,,,,,,,,,,,,,,,,
RPL10A,4736,,,,,,,,,,,,,,,,,,,,,
CBX3,11335,,,,,,,,,,,,,,,,,,,,,
RPL17-C18orf32,6139,26790,26791,100124516,100526842,,,,,,,,,,,,,,,,,
PSMB2,5690,,,,,,,,,,,,,,,,,,,,,
KHDRBS1,10657,,,,,,,,,,,,,,,,,,,,,
ATP6V1G2-DDX39B,7919,692199,100532737,,,,,,,,,,,,,,,,,,,
RTCB,51493,,,,,,,,,,,,,,,,,,,,,
ERH,2079,,,,,,,,,,,,,,,,,,,,,
GATC,8683,283459,,,,,,,,,,,,,,,,,,,,
ABCF1,23,,,,,,,,,,,,,,,,,,,,,
DAD1,1603,,,,,,,,,,,,,,,,,,,,,
YY1,7528,,,,,,,,,,,,,,,,,,,,,
JTB,10899,,,,,,,,,,,,,,,,,,,,,
KAT7,11143,,,,,,,,,,,,,,,,,,,,,
ZNF146,7705,,,,,,,,,,,,,,,,,,,,,
SART1,9092,,,,,,,,,,,,,,,,,,,,,
ILF2,3608,,,,,,,,,,,,,,,,,,,,,
SPAG7,9552,,,,,,,,,,,,,,,,,,,,,
ZPR1,8882,,,,,,,,,,,,,,,,,,,,,
TAF10,6881,,,,,,,,,,,,,,,,,,,,,
C1D,10438,,,,,,,,,,,,,,,,,,,,,
NONO,4841,,,,,,,,,,,,,,,,,,,,,
LOC101929240,23020,,,,,,,,,,,,,,,,,,,,,
RHOA,387,,,,,,,,,,,,,,,,,,,,,
RNPS1,10921,,,,,,,,,,,,,,,,,,,,,
RPS24,6229,,,,,,,,,,,,,,,,,,,,,
RPL30,6156,,,,,,,,,,,,,,,,,,,,,
NPM1,4869,,,,,,,,,,,,,,,,,,,,,
HSP90AB1,3326,,,,,,,,,,,,,,,,,,,,,
MIR3620,375,100500810,,,,,,,,,,,,,,,,,,,,
IK,3550,,,,,,,,,,,,,,,,,,,,,
SNX3,8724,,,,,,,,,,,,,,,,,,,,,
CANX,821,,,,,,,,,,,,,,,,,,,,,
SART3,9733,,,,,,,,,,,,,,,,,,,,,
CNPPD1,27013,,,,,,,,,,,,,,,,,,,,,
SMNDC1,10285,,,,,,,,,,,,,,,,,,,,,
HNRNPM,4670,,,,,,,,,,,,,,,,,,,,,
HNRNPD,3184,,,,,,,,,,,,,,,,,,,,,
RPL14,9045,,,,,,,,,,,,,,,,,,,,,
GUK1,2987,,,,,,,,,,,,,,,,,,,,,
KXD1,79036,,,,,,,,,,,,,,,,,,,,,
OAZ1,4946,,,,,,,,,,,,,,,,,,,,,
ATP6V0B,533,,,,,,,,,,,,,,,,,,,,,
KARS,3735,,,,,,,,,,,,,,,,,,,,,
H3F3AP4,3020,3021,440926,,,,,,,,,,,,,,,,,,,
RPS6,6194,,,,,,,,,,,,,,,,,,,,,
RPS7,6201,,,,,,,,,,,,,,,,,,,,,
USP22,23326,,,,,,,,,,,,,,,,,,,,,
C11orf58,10944,,,,,,,,,,,,,,,,,,,,,
TCEB2,6923,,,,,,,,,,,,,,,,,,,,,
COX4I1,1327,,,,,,,,,,,,,,,,,,,,,
TMED2,10959,,,,,,,,,,,,,,,,,,,,,
NBEAL1,6136,65065,,,,,,,,,,,,,,,,,,,,
SNORD18C,6124,595097,595098,595099,595100,,,,,,,,,,,,,,,,,
FNTA,2339,,,,,,,,,,,,,,,,,,,,,
RPS25,6230,,,,,,,,,,,,,,,,,,,,,
RPL37,6167,,,,,,,,,,,,,,,,,,,,,
HINT1,3094,,,,,,,,,,,,,,,,,,,,,
EEF2,1938,,,,,,,,,,,,,,,,,,,,,
RPS10,6204,,,,,,,,,,,,,,,,,,,,,
ATP6V0E1,8992,,,,,,,,,,,,,,,,,,,,,
HNRNPK,3190,407043,,,,,,,,,,,,,,,,,,,,
ANAPC5,51433,,,,,,,,,,,,,,,,,,,,,
SNORD73A,6189,8944,,,,,,,,,,,,,,,,,,,,
HNRNPU,3192,,,,,,,,,,,,,,,,,,,,,
HNRNPU,3192,,,,,,,,,,,,,,,,,,,,,
EIF3A,8661,,,,,,,,,,,,,,,,,,,,,
EIF3A,8661,,,,,,,,,,,,,,,,,,,,,
EIF3A,8661,,,,,,,,,,,,,,,,,,,,,
MIR3652,7184,100500842,,,,,,,,,,,,,,,,,,,,
MIR3652,7184,100500842,,,,,,,,,,,,,,,,,,,,
MSN,4478,,,,,,,,,,,,,,,,,,,,,
ACTN4,81,,,,,,,,,,,,,,,,,,,,,
APP,351,,,,,,,,,,,,,,,,,,,,,
PRKAR1A,5573,,,,,,,,,,,,,,,,,,,,,
PRKAR1A,5573,,,,,,,,,,,,,,,,,,,,,
PRKAR1A,5573,,,,,,,,,,,,,,,,,,,,,
DSP,1832,,,,,,,,,,,,,,,,,,,,,
RAD21,5885,,,,,,,,,,,,,,,,,,,,,
RAD21,5885,,,,,,,,,,,,,,,,,,,,,
WDR1,9948,,,,,,,,,,,,,,,,,,,,,
NCL,4691,100996253,,,,,,,,,,,,,,,,,,,,
WDR1,9948,,,,,,,,,,,,,,,,,,,,,
AP2B1,163,,,,,,,,,,,,,,,,,,,,,
AP2M1,1173,,,,,,,,,,,,,,,,,,,,,
CLTC,1213,,,,,,,,,,,,,,,,,,,,,
AP2B1,163,,,,,,,,,,,,,,,,,,,,,
MLEC,9761,,,,,,,,,,,,,,,,,,,,,
MLEC,9761,,,,,,,,,,,,,,,,,,,,,
LASP1,3927,,,,,,,,,,,,,,,,,,,,,
SF3B2,10992,,,,,,,,,,,,,,,,,,,,,
TMEM59,9528,,,,,,,,,,,,,,,,,,,,,
CSRP1,1465,,,,,,,,,,,,,,,,,,,,,
CALM3,801,805,808,,,,,,,,,,,,,,,,,,,
CALM3,801,805,808,,,,,,,,,,,,,,,,,,,
SNHG4,9782,724102,,,,,,,,,,,,,,,,,,,,
CAP1,10487,,,,,,,,,,,,,,,,,,,,,
SNHG4,9782,724102,,,,,,,,,,,,,,,,,,,,
PTGES3,10728,,,,,,,,,,,,,,,,,,,,,
WARS,7453,,,,,,,,,,,,,,,,,,,,,
WARS,7453,,,,,,,,,,,,,,,,,,,,,
SETSIP,6418,,,,,,,,,,,,,,,,,,,,,
SETSIP,6418,,,,,,,,,,,,,,,,,,,,,
NDRG1,10397,,,,,,,,,,,,,,,,,,,,,
UBB,7314,,,,,,,,,,,,,,,,,,,,,
PFN1,5216,,,,,,,,,,,,,,,,,,,,,
PTPRF,5792,,,,,,,,,,,,,,,,,,,,,
PTPRF,5792,,,,,,,,,,,,,,,,,,,,,
PTPRF,5792,,,,,,,,,,,,,,,,,,,,,
YWHAZ,7534,,,,,,,,,,,,,,,,,,,,,
YWHAZ,7534,,,,,,,,,,,,,,,,,,,,,
YWHAZ,7534,,,,,,,,,,,,,,,,,,,,,
YWHAZ,7534,,,,,,,,,,,,,,,,,,,,,
SOD1,6647,,,,,,,,,,,,,,,,,,,,,
HDLBP,3069,,,,,,,,,,,,,,,,,,,,,
MARCKSL1,65108,,,,,,,,,,,,,,,,,,,,,
GABARAP,11337,,,,,,,,,,,,,,,,,,,,,
NUCB1,4924,,,,,,,,,,,,,,,,,,,,,
EIF3CL,8663,728689,,,,,,,,,,,,,,,,,,,,
GLUL,2752,,,,,,,,,,,,,,,,,,,,,
NUCB1,4924,,,,,,,,,,,,,,,,,,,,,
LDHA,3939,,,,,,,,,,,,,,,,,,,,,
SNORD96A,10399,619570,619571,,,,,,,,,,,,,,,,,,,
SSR2,6746,,,,,,,,,,,,,,,,,,,,,
CALM3,801,805,808,,,,,,,,,,,,,,,,,,,
P4HB,5034,,,,,,,,,,,,,,,,,,,,,
CALM3,801,805,808,,,,,,,,,,,,,,,,,,,
P4HB,5034,,,,,,,,,,,,,,,,,,,,,
SLC25A5,292,,,,,,,,,,,,,,,,,,,,,
PHB,5245,,,,,,,,,,,,,,,,,,,,,
PHB,5245,,,,,,,,,,,,,,,,,,,,,
S100A11,6282,,,,,,,,,,,,,,,,,,,,,
CTSA,5476,,,,,,,,,,,,,,,,,,,,,
TOMM20,9804,,,,,,,,,,,,,,,,,,,,,
CD63,967,,,,,,,,,,,,,,,,,,,,,
DNAJB1,3337,,,,,,,,,,,,,,,,,,,,,
SPARC,6678,,,,,,,,,,,,,,,,,,,,,
DNAJB1,3337,,,,,,,,,,,,,,,,,,,,,
UBE2D3,7323,,,,,,,,,,,,,,,,,,,,,
UBE2D3,7323,,,,,,,,,,,,,,,,,,,,,
UBE2D3,7323,,,,,,,,,,,,,,,,,,,,,
XBP1,7494,,,,,,,,,,,,,,,,,,,,,
SPTBN1,6711,,,,,,,,,,,,,,,,,,,,,
SPTBN1,6711,,,,,,,,,,,,,,,,,,,,,
LAPTM4A,9741,,,,,,,,,,,,,,,,,,,,,
RPL32,6161,,,,,,,,,,,,,,,,,,,,,
CD81,975,,,,,,,,,,,,,,,,,,,,,
UBE2L3,7332,,,,,,,,,,,,,,,,,,,,,
PTTG1IP,754,,,,,,,,,,,,,,,,,,,,,
GRN,2896,,,,,,,,,,,,,,,,,,,,,
HMGB1,3146,,,,,,,,,,,,,,,,,,,,,
HMGB1,3146,,,,,,,,,,,,,,,,,,,,,
GLO1,2739,,,,,,,,,,,,,,,,,,,,,
UBE2L3,7332,,,,,,,,,,,,,,,,,,,,,
UBE2L3,7332,,,,,,,,,,,,,,,,,,,,,
UBE2L3,7332,,,,,,,,,,,,,,,,,,,,,
SRSF11,9295,,,,,,,,,,,,,,,,,,,,,
SRSF11,9295,,,,,,,,,,,,,,,,,,,,,
SF3B3,23450,,,,,,,,,,,,,,,,,,,,,
SF3B3,23450,,,,,,,,,,,,,,,,,,,,,
MIR3654,1937,100500804,,,,,,,,,,,,,,,,,,,,
HSPA9,3313,,,,,,,,,,,,,,,,,,,,,
HSPA9,3313,,,,,,,,,,,,,,,,,,,,,
HSPA9,3313,,,,,,,,,,,,,,,,,,,,,
YWHAQ,10971,,,,,,,,,,,,,,,,,,,,,
DDX24,57062,,,,,,,,,,,,,,,,,,,,,
PPP2R1A,5518,,,,,,,,,,,,,,,,,,,,,
GSN,2934,,,,,,,,,,,,,,,,,,,,,
HK1,3098,,,,,,,,,,,,,,,,,,,,,
KDELR2,11014,,,,,,,,,,,,,,,,,,,,,
KDELR2,11014,,,,,,,,,,,,,,,,,,,,,
KDELR2,11014,,,,,,,,,,,,,,,,,,,,,
NPC2,10577,,,,,,,,,,,,,,,,,,,,,
DDX24,57062,,,,,,,,,,,,,,,,,,,,,
DYNLL1,8655,,,,,,,,,,,,,,,,,,,,,
LITAF,9516,,,,,,,,,,,,,,,,,,,,,
SNORA41,1933,619569,,,,,,,,,,,,,,,,,,,,
LITAF,9516,,,,,,,,,,,,,,,,,,,,,
PRKCSH,5589,,,,,,,,,,,,,,,,,,,,,
GOT2,2806,,,,,,,,,,,,,,,,,,,,,
LOC101929368,2280,,,,,,,,,,,,,,,,,,,,,
ACADVL,37,,,,,,,,,,,,,,,,,,,,,
SKP1,6500,,,,,,,,,,,,,,,,,,,,,
MAPRE1,22919,,,,,,,,,,,,,,,,,,,,,
MAPRE1,22919,,,,,,,,,,,,,,,,,,,,,
OS9,10956,,,,,,,,,,,,,,,,,,,,,
SNORD32A,23521,26816,26817,26818,26819,,,,,,,,,,,,,,,,,
RPL13AP5,23521,26816,26817,26818,26819,728658,,,,,,,,,,,,,,,,
RPL7,6129,,,,,,,,,,,,,,,,,,,,,
SKP1,6500,,,,,,,,,,,,,,,,,,,,,
SKP1,6500,,,,,,,,,,,,,,,,,,,,,
ACTR1A,10121,,,,,,,,,,,,,,,,,,,,,
ACTR1A,10121,,,,,,,,,,,,,,,,,,,,,
CAPRIN1,4076,,,,,,,,,,,,,,,,,,,,,
CAPRIN1,4076,,,,,,,,,,,,,,,,,,,,,
SNORA70,6134,26778,,,,,,,,,,,,,,,,,,,,
SNORA70,6134,26778,,,,,,,,,,,,,,,,,,,,
PPP1CC,5501,,,,,,,,,,,,,,,,,,,,,
ACTR2,10097,,,,,,,,,,,,,,,,,,,,,
ACTR2,10097,,,,,,,,,,,,,,,,,,,,,
ACTR2,10097,,,,,,,,,,,,,,,,,,,,,
PTP4A1,7803,,,,,,,,,,,,,,,,,,,,,
PTP4A1,7803,,,,,,,,,,,,,,,,,,,,,
PTP4A1,7803,,,,,,,,,,,,,,,,,,,,,
PTP4A1,7803,,,,,,,,,,,,,,,,,,,,,
ARF3,377,,,,,,,,,,,,,,,,,,,,,
NACA,4666,,,,,,,,,,,,,,,,,,,,,
GPX1,2876,,,,,,,,,,,,,,,,,,,,,
PGK1,5230,,,,,,,,,,,,,,,,,,,,,
PGK1,5230,,,,,,,,,,,,,,,,,,,,,
SUMO3,6612,,,,,,,,,,,,,,,,,,,,,
SUMO3,6612,,,,,,,,,,,,,,,,,,,,,
RPS27,6232,,,,,,,,,,,,,,,,,,,,,
TPP1,1200,,,,,,,,,,,,,,,,,,,,,
TPP1,1200,,,,,,,,,,,,,,,,,,,,,
GNB1,2782,,,,,,,,,,,,,,,,,,,,,
GNB1,2782,,,,,,,,,,,,,,,,,,,,,
GNB1,2782,,,,,,,,,,,,,,,,,,,,,
NUMA1,4926,,,,,,,,,,,,,,,,,,,,,
FTH1,2495,,,,,,,,,,,,,,,,,,,,,
RAN,5901,,,,,,,,,,,,,,,,,,,,,
RAN,5901,,,,,,,,,,,,,,,,,,,,,
HNRNPC,3183,,,,,,,,,,,,,,,,,,,,,
CAPN1,823,,,,,,,,,,,,,,,,,,,,,
MIR636,6427,693221,,,,,,,,,,,,,,,,,,,,
MIR636,6427,693221,,,,,,,,,,,,,,,,,,,,
CALU,813,,,,,,,,,,,,,,,,,,,,,
CALU,813,,,,,,,,,,,,,,,,,,,,,
CALU,813,,,,,,,,,,,,,,,,,,,,,
NFE2L1,4779,,,,,,,,,,,,,,,,,,,,,
NFE2L1,4779,,,,,,,,,,,,,,,,,,,,,
ARL6IP5,10550,,,,,,,,,,,,,,,,,,,,,
ARL6IP5,10550,,,,,,,,,,,,,,,,,,,,,
DPYSL2,1808,,,,,,,,,,,,,,,,,,,,,
RPLP1,6176,,,,,,,,,,,,,,,,,,,,,
CTNNA1,1495,,,,,,,,,,,,,,,,,,,,,
CTNNA1,1495,,,,,,,,,,,,,,,,,,,,,
CTSD,1509,,,,,,,,,,,,,,,,,,,,,
FAM120A,23196,,,,,,,,,,,,,,,,,,,,,
MAT2A,4144,,,,,,,,,,,,,,,,,,,,,
MAT2A,4144,,,,,,,,,,,,,,,,,,,,,
LAMC1,3915,,,,,,,,,,,,,,,,,,,,,
LAMC1,3915,,,,,,,,,,,,,,,,,,,,,
LOC100506248,5757,728026,100302285,100422872,100422885,100506248,,,,,,,,,,,,,,,,
PTMA,5757,,,,,,,,,,,,,,,,,,,,,
FAM120A,23196,,,,,,,,,,,,,,,,,,,,,
HNRNPK,3190,407043,,,,,,,,,,,,,,,,,,,,
BZW1,9689,,,,,,,,,,,,,,,,,,,,,
BZW1,9689,,,,,,,,,,,,,,,,,,,,,
2-Sep,4735,,,,,,,,,,,,,,,,,,,,,
ATF4,468,,,,,,,,,,,,,,,,,,,,,
GNAS,2778,,,,,,,,,,,,,,,,,,,,,
RPS15A,6210,,,,,,,,,,,,,,,,,,,,,
ANXA5,308,,,,,,,,,,,,,,,,,,,,,
STMN1,3925,,,,,,,,,,,,,,,,,,,,,
LRP1,4035,,,,,,,,,,,,,,,,,,,,,
LRP1,4035,,,,,,,,,,,,,,,,,,,,,
PSMB7,5695,,,,,,,,,,,,,,,,,,,,,
PEA15,8682,,,,,,,,,,,,,,,,,,,,,
PEA15,8682,,,,,,,,,,,,,,,,,,,,,
ECH1,1891,,,,,,,,,,,,,,,,,,,,,
ODC1,4953,,,,,,,,,,,,,,,,,,,,,
IQGAP1,8826,,,,,,,,,,,,,,,,,,,,,
XRCC6,2547,,,,,,,,,,,,,,,,,,,,,
ACO2,50,,,,,,,,,,,,,,,,,,,,,
DAZAP2,9802,,,,,,,,,,,,,,,,,,,,,
SPARCL1,8404,,,,,,,,,,,,,,,,,,,,,
MCL1,4170,,,,,,,,,,,,,,,,,,,,,
MCL1,4170,,,,,,,,,,,,,,,,,,,,,
MCL1,4170,,,,,,,,,,,,,,,,,,,,,
HSPA1B,3303,3304,,,,,,,,,,,,,,,,,,,,
HSPA1L,3303,3304,,,,,,,,,,,,,,,,,,,,
ACTB,60,,,,,,,,,,,,,,,,,,,,,
SARS,6301,,,,,,,,,,,,,,,,,,,,,
TMBIM6,7009,,,,,,,,,,,,,,,,,,,,,
TMBIM6,7009,,,,,,,,,,,,,,,,,,,,,
LMAN2,10960,,,,,,,,,,,,,,,,,,,,,
HSPD1,3329,,,,,,,,,,,,,,,,,,,,,
HSPD1,3329,,,,,,,,,,,,,,,,,,,,,
ZYX,7791,,,,,,,,,,,,,,,,,,,,,
RPL12,6136,,,,,,,,,,,,,,,,,,,,,
CIRBP,1153,,,,,,,,,,,,,,,,,,,,,
CIRBP,1153,,,,,,,,,,,,,,,,,,,,,
CCT7,10574,,,,,,,,,,,,,,,,,,,,,
PAFAH1B1,5048,,,,,,,,,,,,,,,,,,,,,
PSME1,5720,,,,,,,,,,,,,,,,,,,,,
PAFAH1B1,5048,,,,,,,,,,,,,,,,,,,,,
PAFAH1B1,5048,,,,,,,,,,,,,,,,,,,,,
RPS10,6204,,,,,,,,,,,,,,,,,,,,,
ATP5O,539,,,,,,,,,,,,,,,,,,,,,
RPS15,6209,,,,,,,,,,,,,,,,,,,,,
PSMD8,5714,,,,,,,,,,,,,,,,,,,,,
LAMP2,3920,,,,,,,,,,,,,,,,,,,,,
TPI1,7167,,,,,,,,,,,,,,,,,,,,,
RPL29,6159,,,,,,,,,,,,,,,,,,,,,
GSTP1,2950,,,,,,,,,,,,,,,,,,,,,
HYOU1,10525,,,,,,,,,,,,,,,,,,,,,
SNRPD2,6633,,,,,,,,,,,,,,,,,,,,,
PLOD1,5351,,,,,,,,,,,,,,,,,,,,,
ZNF207,7756,,,,,,,,,,,,,,,,,,,,,
ZNF207,7756,,,,,,,,,,,,,,,,,,,,,
PSMD2,5708,,,,,,,,,,,,,,,,,,,,,
SCD,6319,,,,,,,,,,,,,,,,,,,,,
SCD,6319,,,,,,,,,,,,,,,,,,,,,
RAP1B,5908,101060439,,,,,,,,,,,,,,,,,,,,
RPS21,6227,,,,,,,,,,,,,,,,,,,,,
MAP4,4134,,,,,,,,,,,,,,,,,,,,,
MAP4,4134,,,,,,,,,,,,,,,,,,,,,
BCAP31,10134,,,,,,,,,,,,,,,,,,,,,
CTSB,1508,,,,,,,,,,,,,,,,,,,,,
CTSB,1508,,,,,,,,,,,,,,,,,,,,,
KARS,3735,,,,,,,,,,,,,,,,,,,,,
EPRS,2058,,,,,,,,,,,,,,,,,,,,,
EPRS,2058,,,,,,,,,,,,,,,,,,,,,
EPRS,2058,,,,,,,,,,,,,,,,,,,,,
PRDX6,9588,,,,,,,,,,,,,,,,,,,,,
PRDX6,9588,,,,,,,,,,,,,,,,,,,,,
PPP1CA,5499,,,,,,,,,,,,,,,,,,,,,
SARAF,51669,,,,,,,,,,,,,,,,,,,,,
AHCYL1,10768,,,,,,,,,,,,,,,,,,,,,
AHCYL1,10768,,,,,,,,,,,,,,,,,,,,,
AHCYL1,10768,,,,,,,,,,,,,,,,,,,,,
IST1,9798,,,,,,,,,,,,,,,,,,,,,
GNB2,2783,,,,,,,,,,,,,,,,,,,,,
H2AFZ,3015,,,,,,,,,,,,,,,,,,,,,
NCOR1,9611,,,,,,,,,,,,,,,,,,,,,
NCOR1,9611,,,,,,,,,,,,,,,,,,,,,
NCOR1,9611,,,,,,,,,,,,,,,,,,,,,
NCOR1,9611,,,,,,,,,,,,,,,,,,,,,
SNORD38B,6202,26811,94163,,,,,,,,,,,,,,,,,,,
FLNA,2316,,,,,,,,,,,,,,,,,,,,,
CNOT1,23019,,,,,,,,,,,,,,,,,,,,,
CNOT1,23019,,,,,,,,,,,,,,,,,,,,,
DHCR24,1718,,,,,,,,,,,,,,,,,,,,,
RAB11A,8766,,,,,,,,,,,,,,,,,,,,,
RAB11A,8766,,,,,,,,,,,,,,,,,,,,,
EIF3F,8665,,,,,,,,,,,,,,,,,,,,,
PSAP,5660,,,,,,,,,,,,,,,,,,,,,
RNF114,55905,,,,,,,,,,,,,,,,,,,,,
RNF114,55905,,,,,,,,,,,,,,,,,,,,,
SNORA68,6142,26780,,,,,,,,,,,,,,,,,,,,
STRAP,11171,,,,,,,,,,,,,,,,,,,,,
PSAP,5660,,,,,,,,,,,,,,,,,,,,,
S100A10,6281,,,,,,,,,,,,,,,,,,,,,
CCT8,10694,,,,,,,,,,,,,,,,,,,,,
MIR1292,10528,26792,692201,692213,100302138,,,,,,,,,,,,,,,,,
MIR1292,10528,26792,692201,692213,100302138,,,,,,,,,,,,,,,,,
PSMB1,5689,,,,,,,,,,,,,,,,,,,,,
CCT4,10575,,,,,,,,,,,,,,,,,,,,,
EPAS1,2034,,,,,,,,,,,,,,,,,,,,,
EPAS1,2034,,,,,,,,,,,,,,,,,,,,,
DNAJA1,3301,,,,,,,,,,,,,,,,,,,,,
DNAJA1,3301,,,,,,,,,,,,,,,,,,,,,
PSMD4,5710,,,,,,,,,,,,,,,,,,,,,
UQCRC2,7385,,,,,,,,,,,,,,,,,,,,,
CKB,1152,,,,,,,,,,,,,,,,,,,,,
RHOC,389,,,,,,,,,,,,,,,,,,,,,
PGAM1,5223,,,,,,,,,,,,,,,,,,,,,
STAT1,6772,,,,,,,,,,,,,,,,,,,,,
SNORA21,9349,619505,,,,,,,,,,,,,,,,,,,,
SSR1,6745,,,,,,,,,,,,,,,,,,,,,
SSR1,6745,,,,,,,,,,,,,,,,,,,,,
SSR1,6745,,,,,,,,,,,,,,,,,,,,,
TRA2B,6434,,,,,,,,,,,,,,,,,,,,,
TRA2B,6434,,,,,,,,,,,,,,,,,,,,,
FKBP4,2288,,,,,,,,,,,,,,,,,,,,,
FKBP4,2288,,,,,,,,,,,,,,,,,,,,,
HDGF,3068,,,,,,,,,,,,,,,,,,,,,
PALLD,23022,,,,,,,,,,,,,,,,,,,,,
MGEA5,10724,,,,,,,,,,,,,,,,,,,,,
MGEA5,10724,,,,,,,,,,,,,,,,,,,,,
M6PR,4074,,,,,,,,,,,,,,,,,,,,,
M6PR,4074,,,,,,,,,,,,,,,,,,,,,
15-Sep,9403,,,,,,,,,,,,,,,,,,,,,
AHCY,191,,,,,,,,,,,,,,,,,,,,,
HLA-E,3133,,,,,,,,,,,,,,,,,,,,,
HLA-E,3133,,,,,,,,,,,,,,,,,,,,,
PALLD,23022,,,,,,,,,,,,,,,,,,,,,
PALLD,23022,,,,,,,,,,,,,,,,,,,,,
RPLP2,6181,,,,,,,,,,,,,,,,,,,,,
SNORA52,6181,619565,,,,,,,,,,,,,,,,,,,,
LOC101927137,7203,,,,,,,,,,,,,,,,,,,,,
TACC1,6867,,,,,,,,,,,,,,,,,,,,,
MIR1248,1974,6043,619567,619568,677847,100302143,,,,,,,,,,,,,,,,
PPM1G,5496,,,,,,,,,,,,,,,,,,,,,
KTN1,3895,,,,,,,,,,,,,,,,,,,,,
KTN1,3895,,,,,,,,,,,,,,,,,,,,,
TAGLN2,8407,,,,,,,,,,,,,,,,,,,,,
SRPRA,6734,,,,,,,,,,,,,,,,,,,,,
SRPRA,6734,,,,,,,,,,,,,,,,,,,,,
PHC2,1912,,,,,,,,,,,,,,,,,,,,,
BTG1,694,,,,,,,,,,,,,,,,,,,,,
BTG1,694,,,,,,,,,,,,,,,,,,,,,
KDELR1,10945,,,,,,,,,,,,,,,,,,,,,
LGALS3BP,3959,,,,,,,,,,,,,,,,,,,,,
SLC3A2,6520,,,,,,,,,,,,,,,,,,,,,
COX6A1,1337,,,,,,,,,,,,,,,,,,,,,
RPS23,6228,,,,,,,,,,,,,,,,,,,,,
RAB14,51552,,,,,,,,,,,,,,,,,,,,,
RAB14,51552,,,,,,,,,,,,,,,,,,,,,
TMED10,10972,,,,,,,,,,,,,,,,,,,,,
VCL,7414,,,,,,,,,,,,,,,,,,,,,
VCL,7414,,,,,,,,,,,,,,,,,,,,,
DCTN2,10540,,,,,,,,,,,,,,,,,,,,,
RPS4X,6191,,,,,,,,,,,,,,,,,,,,,
DEK,7913,,,,,,,,,,,,,,,,,,,,,
